,test,time
0,1,16.98094391822815
1,2,44.62911653518677
2,3,7.239863395690918
3,4,25.654497623443604
4,5,42.17242217063904
5,6,15.500958442687988
6,7,47.63496804237366
7,8,38.340179204940796
8,9,71.56500053405762
9,10,10.933018922805786
10,11,42.99432420730591
11,12,40.027159214019775
12,13,9.322737693786621
13,14,6.4125120639801025
14,15,32.37597966194153
15,16,35.58800435066223
16,17,9.208430767059326
17,18,46.50797986984253
18,19,12.416994333267212
19,20,10.074994325637817
20,21,5.929744720458984
21,22,13.65523076057434
22,23,54.40965414047241
23,24,9.626790046691895
24,25,27.867100715637207
25,26,19.272924184799194
26,27,4.161556959152222
27,28,16.847888231277466
28,29,30.483608722686768
29,30,29.04497766494751
30,31,11.489336490631104
31,32,13.118001699447632
32,33,22.749641180038452
33,34,17.263408660888672
34,35,26.187642335891724
35,36,39.77501368522644
36,37,19.13215732574463
37,38,15.438002824783325
38,39,13.729761838912964
39,40,29.115834712982178
40,41,19.134993314743042
41,42,27.25996160507202
42,43,13.772311210632324
43,44,51.022130489349365
44,45,43.39599847793579
45,46,31.053138732910156
46,47,16.12141442298889
47,48,12.960065126419067
48,49,21.810155868530273
49,50,7.416074991226196
50,51,17.74534249305725
51,52,33.12807250022888
52,53,14.89965009689331
53,54,21.15992307662964
54,55,61.84357571601868
55,56,34.083322048187256
56,57,23.517164707183838
57,58,11.54652214050293
58,59,17.930436849594116
59,60,44.24207878112793
60,61,23.08935236930847
61,62,35.257726192474365
62,63,26.47176504135132
63,64,59.249390602111816
64,65,10.254832983016968
65,66,38.459625482559204
66,67,10.284388303756714
67,68,12.16820502281189
68,69,16.695565700531006
69,70,55.26443600654602
70,71,15.05974531173706
71,72,17.736918449401855
72,73,15.072407484054565
73,74,29.517423391342163
74,75,12.014533519744873
75,76,36.72751021385193
76,77,32.53262233734131
77,78,13.198538064956665
78,79,13.491920471191406
79,80,32.27493381500244
80,81,15.493141651153564
81,82,16.638160943984985
82,83,61.5353467464447
83,84,18.617236852645874
84,85,42.79231309890747
85,86,26.290914058685303
86,87,29.24094271659851
87,88,14.261924982070923
88,89,61.978058099746704
89,90,3.197309732437134
90,91,30.949577808380127
91,92,5.538009166717529
92,93,15.661996841430664
93,94,3.7488667964935303
94,95,26.13596510887146
95,96,25.33504319190979
96,97,12.205991506576538
97,98,61.70510959625244
98,99,30.052042245864868
99,100,21.695799112319946
